Qtr,ATT1,ATT2,ATT3,ATT4,HW1,HW2,HW3,HW4,Mid,Score,Grade
2,Y,Y,Y,Y,1.0000,0.9792,1.0000,0.8750,0.9318,0.8500,B
2,Y,Y,Y,Y,1.0000,0.9583,0.9792,0.9688,0.9659,0.9695,A
2,Y,Y,Y,Y,0.5833,0.8958,0.8542,0.9375,0.9659,0.8048,B
2,N,Y,Y,Y,0.9792,0.7917,0.7917,0.8438,0.8295,0.7504,C
2,Y,Y,Y,Y,0.9792,0.8333,0.0000,0.0000,0.8295,0.4603,F
2,Y,Y,Y,Y,0.9792,0.8750,0.4375,1.0000,0.7159,0.7617,C
2,Y,Y,Y,Y,1.0000,1.0000,0.9583,1.0000,1.0000,0.9698,A
2,N,Y,Y,Y,0.8750,1.0000,1.0000,0.0000,0.6023,0.6148,D
3,Y,Y,Y,Y,0.8125,0.8125,0.8750,0.9531,0.7657,0.7657,C
3,Y,Y,Y,Y,0.0000,0.8958,0.0000,0.4375,0.4354,0.4354,F
3,Y,N,Y,N,1.0000,0.0000,0.2083,0.0000,0.0000,0.0000,F
3,Y,Y,Y,Y,0.9375,0.9792,0.8958,1.0000,0.9768,0.9768,A
3,Y,Y,N,Y,0.8750,0.9375,0.9167,1.0000,0.9407,0.9407,A
3,N,Y,N,Y,0.9792,0.6875,0.6458,0.9063,0.7881,0.7881,C
3,Y,N,Y,Y,0.9792,0.8125,0.9792,1.0000,0.9425,0.9425,A
3,Y,Y,N,Y,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,F
3,Y,Y,N,N,0.5833,0.7917,0.2917,0.0000,0.5065,0.5065,F
3,Y,Y,Y,N,0.0000,0.0000,0.0000,0.0000,0.3538,0.3538,F
3,Y,Y,Y,Y,0.7500,0.8958,0.7292,0.9375,0.8494,0.8494,B
3,Y,Y,Y,Y,0.9792,1.0000,0.9167,1.0000,0.9157,0.9157,A
3,Y,N,N,N,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,F
3,Y,Y,N,Y,1.0000,0.8750,0.9792,1.0000,0.9006,0.9006,A
3,Y,Y,Y,Y,1.0000,0.0000,0.8958,1.0000,0.7029,0.7029,C
3,Y,Y,Y,Y,0.9792,0.9583,0.9583,1.0000,0.9171,0.9171,A
3,Y,Y,Y,Y,0.4792,1.0000,1.0000,1.0000,0.9628,0.9628,A
